X1,Provider.Type,Doctor Identifier,Number.of.Services,Number.of.Beneficiaries,Total.Submitted.Charge.Amount,Total.Allowed.Amount,Total.Payment.Amount,Total.Standardized.Payment.Amount,Number.of.Drug.Services,Total.Drug.Submitted.Charge.Amount,Total.Drug.Allowed.Amount,Total.Drug.Payment.Amount,Total.Drug.Standardized.Payment.Amount,Number.of.Medical.Services,Percent.Atrial.Fibrillation,Percent.Alzheimer.s.Disease.or.Dementia,Percent.Asthma,Percent.Cancer,Percent.Heart.Failure,Percent.Chronic.Kidney.Disease,Percent.Chronic.Obstructive.Pulmonary.Disease,Percent.Depression,Percent.Diabetes,Percent.Hyperlipidemia,Percent.Hypertension,Percent.Ischemic.Heart.Disease,Percent.Osteoporosis,Percent.Rheumatoid.Arthritis.or.Osteoarthritis,Percent.Schizophrenia.or.Other.Psychotic.Disorders,Percent.Stroke,Average.HCC.Risk.Score.of.Beneficiaries,Freq,Specialty.Category,Risk.x,Risk.y
78,Ambulance Service Supplier,643819132,1266,264,148412.41,93147.53,67575.69,68836.89,0,0,0,0,0,1266,3.53,9,18,2.63,8,17,19,60,32,44,48,16,2.06,20,63,1.66,1.32,168,Other,0.452225727388184,0.460102656381497
79,Ambulance Service Supplier,437974463,1925,834,1216793.9,325460.73,245536.5,246591.46,0,0,0,0,0,1925,12,6,15,16,18,26,15,27,27,58,69,31,11,43,3,3,1.46,168,Other,0.469497508121216,0.486789534816601
80,Ambulance Service Supplier,113698861,554,20,47085,14901.76,11492.86,11301.54,0,0,0,0,0,554,0.25,0,0.25,0.19,0.38,0.49,0.29,60,0.47,60,60,0.55,0,0.62,0.15,0,1.09,168,Other,0.414800640109989,0.41977616365077
81,Ambulance Service Supplier,145821682,943,343,134137.5,54782.01,40692.2,39790.66,68,1435.5,410.9,331.54,331.54,875,10,7,15,10,11,18,13,19,22,50,59,26,9,46,1.16,1.07,1.04,168,Other,0.398924188182077,0.408490326678542
82,Ambulance Service Supplier,749597580,275,224,295802.2,42471.78,33210.22,33038.1,0,0,0,0,0,275,12,7,22,29,13,33,13,36,24,58,75,36,11,57,0.24,0.29,1.76,168,Other,0.39901516550809,0.425067310904716
83,Ambulance Service Supplier,881322687,77,28,18465,9312.2,7300.89,7484.96,0,0,0,0,0,77,0.33,0.35,39,0.24,46,57,0.39,0.72,43,61,75,50,0.19,46,0.2,0.15,2.26,168,Other,0.451668841125111,0.467196243971421
84,Ambulance Service Supplier,937410976,92,41,49488,11911.47,9152.53,10570.58,0,0,0,0,0,92,41,0.53,37,0.26,75,66,44,61,54,75,75,71,0.23,39,0.33,0.21,3.57,168,Other,0.527251156400474,0.544637442538763
85,Ambulance Service Supplier,248500991,411,225,114687,47119.45,33991.49,33262.15,0,0,0,0,0,411,13,1.83,12,13,2.83,16,11,14,26,58,61,24,7,27,0.99,0.87,0.87,168,Other,0.383006659305832,0.40241292371302
86,Ambulance Service Supplier,847462865,351,178,105800,18077.77,13864.07,11993.65,0,0,0,0,0,351,10,0.23,0.48,55,0.66,17,7,13,19,51,53,24,0.34,30,0.06,0.21,0.88,168,Other,0.415572648479354,0.466250912511614
87,Ambulance Service Supplier,834725136,397,68,25775,16546.31,12088.72,11951.98,0,0,0,0,0,397,0.67,0.67,0.67,0.52,1,16,0.77,19,34,54,56,24,0.4,47,0.37,0.31,1.07,168,Other,0.379746891223731,0.395644977554496
88,Ambulance Service Supplier,738709252,190,145,50051,13462.95,8823.05,10368.4,0,0,0,0,0,190,11,13,10,11,30,67,15,26,75,75,75,54,0.55,30,0.56,0.44,2.24,168,Other,0.434877426585285,0.482104928666136
89,Ambulance Service Supplier,888454161,547,34,34370,16291.87,12699.39,13145.82,0,0,0,0,0,547,0.46,0.54,0.47,0.33,0.72,0.9,0.55,44,0.85,56,62,0.99,0,75,0.31,0.22,1.06,168,Other,0.4172610486163,0.428204005570728
90,Ambulance Service Supplier,965930819,2276,582,1003921,192209.5,145330.18,143732.28,1050,14946,4063.46,3066.48,3066.48,1226,7,3,14,6,8,20,9,25,25,48,58,20,8,72,3,1.63,1.07,168,Other,0.50105541193455,0.49707034966914
91,Ambulance Service Supplier,405360859,288,174,80764,28576.94,19664.28,19407.26,0,0,0,0,0,288,1.3,7,11,10,1.92,13,10,32,25,54,57,20,7,35,0.66,0.59,1.07,168,Other,0.375573789668031,0.397220034150645
92,Ambulance Service Supplier,596767289,91,34,35550,15107.05,11450.6,10712.21,0,0,0,0,0,91,0.4,0.37,0.39,0.34,0.59,32,0.45,0.78,0.76,38,65,50,0,50,0,0.18,1.38,168,Other,0.425365301682007,0.428349252115571
93,Ambulance Service Supplier,253418412,724,106,89598,49479.12,36544.15,37620.52,0,0,0,0,0,724,0,1.9,14,1.22,0,3.28,2.01,71,17,18,27,3.64,0.97,15,33,0,1.03,168,Other,0.467440552617417,0.473952281269842
94,Ambulance Service Supplier,251334554,502,146,84280,41092.04,29851.05,28360.35,70,11865,7398.51,7225.73,7225.73,432,11,2.64,3.25,12,10,14,3.58,55,27,58,72,28,2.45,28,1.19,1.23,0.88,168,Other,0.466450596778746,0.48690738109475
95,Ambulance Service Supplier,560250297,4489,135,310625,116374.31,89262.66,89562.03,0,0,0,0,0,4489,13,2.75,10,11,13,21,15,27,21,58,61,28,11,65,1.55,1.11,1.24,168,Other,0.423889101777109,0.433955578636848
96,Ambulance Service Supplier,239268760,656,149,135915,43904.89,34421.84,40053,0,0,0,0,0,656,32,34,20,11,34,48,21,54,37,74,75,52,22,60,24,36,1.74,168,Other,0.467393690483173,0.518615691496078
97,Ambulance Service Supplier,476102930,693,187,97131,41553.73,30566.99,29232.38,77,16135,7716.85,7544.89,7544.89,616,19,9,7,7,17,14,7,13,28,50,57,32,2.56,30,1.24,1.28,1.09,168,Other,0.464469412238699,0.482250063757127
98,Ambulance Service Supplier,613609292,1061,352,295991,84427.8,58641.64,58254.58,0,0,0,0,0,1061,15,10,12,8,17,34,11,24,28,56,70,39,12,40,4,4,1.35,168,Other,0.388487148691594,0.405082054478508
99,Ambulance Service Supplier,431954065,2256,1004,270501,111108.7,87450.57,81782.56,0,0,0,0,0,2256,11,6,15,17,10,25,13,25,28,53,64,25,5,37,4,4,1.19,168,Other,0.422470371665207,0.447332740423662
100,Ambulance Service Supplier,697916425,59,17,10234,2885,2001.44,2274.75,0,0,0,0,0,59,0.14,0,0.15,0,0.22,0.27,0.17,75,0.26,0.45,0.53,0.3,0.08,0.33,0.09,0,1.36,168,Other,0.468846338666816,0.464323258996553
101,Ambulance Service Supplier,483001239,686,158,80643.15,49868.71,38396.14,42823.14,0,0,0,0,0,686,29,75,20,1.41,57,48,25,75,46,54,75,53,23,56,52,18,2.48,168,Other,0.509999389198703,0.536853748779911
102,Ambulance Service Supplier,825940050,668,189,180272,68269.5,51978.59,51504.29,0,0,0,0,0,668,10,17,20,10,15,25,20,53,26,55,75,30,15,75,10,6,1.7,168,Other,0.423457883458118,0.422022368377414
103,Ambulance Service Supplier,155851478,445,363,91990,24790.75,17073.52,19890.99,0,0,0,0,0,445,13,9,17,12,16,23,15,25,23,56,65,29,12,34,1.13,0.93,1.14,168,Other,0.392397424164156,0.421805158912039
104,Ambulance Service Supplier,751613231,299,246,259638,29715.74,22779.92,23030.28,0,0,0,0,0,299,12,5,16,6,11,19,11,39,30,57,67,28,6,53,0.16,0.23,1.21,168,Other,0.378636147238258,0.406778500377198
105,Ambulance Service Supplier,138653977,3983,1860,166004,54892.77,43556.04,42080.12,0,0,0,0,0,3983,22,15,20,14,38,46,25,36,37,57,74,51,12,40,10,12,2.12,168,Other,0.465219619112322,0.490673948233679
106,Ambulance Service Supplier,562724862,126,61,54127,26358.69,20584.25,20515.62,0,0,0,0,0,126,0.79,0.84,18,0.6,30,48,0.93,49,33,62,66,39,0.46,34,0.47,0.37,1.66,168,Other,0.401575089995587,0.424783413987533
107,Ambulance Service Supplier,912526221,120,118,101798.48,16335.1,12620.5,12525.17,0,0,0,0,0,120,15,12,12,25,18,37,14,30,29,68,75,30,16,43,0.18,0.2,1.42,168,Other,0.397631927674166,0.427301100623639
108,Ambulance Service Supplier,184005349,251,128,36290,7248.84,5305.72,4960.36,0,0,0,0,0,251,9,9,14,10,14,20,10,22,28,37,60,31,13,41,0.16,0.19,1.21,168,Other,0.385566787167431,0.405851203959259
109,Ambulance Service Supplier,848677356,34,11,2783,517.39,376.53,368.47,0,0,0,0,0,34,0.04,0,0,0,0.05,0,0.04,0.07,0.07,0.13,0.16,0.08,0,0,0.01,0,1.07,168,Other,0.445362926671353,0.460059700944429
