Doctor Identifier,Provider Type,Number of Services,Number of Beneficiaries,Total Submitted Charge Amount,Total Allowed Amount,Total Payment Amount,Total Standardized Payment Amount,Number of Drug Services,Total Drug Submitted Charge Amount,Total Drug Allowed Amount ,Total Drug Payment Amount ,Total Drug Standardized Payment Amount,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimer’s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
550942346,Internal Medicine,390,21,78000.0,35637.88,27068.0,26438.72,0,0.0,0.0,0.0,0.0,390,0.83,0.9,0.83,0.64,1.27,1.62,0.97,52.0,1.56,62.0,71.0,1.83,0.48,2.0,0.5,0.39,1.49
417435316,Cardiology,3575,1273,515149.0,156561.2,109961.22,123398.35,241,32711.0,9387.55,7306.44,7306.44,3334,15.0,10.0,15.0,20.0,17.0,26.0,18.0,25.0,38.0,71.0,70.0,35.0,5.0,36.0,7.0,7.0,1.33
279650060,Psychiatry,838,576,152953.84,43566.94,33754.12,32915.53,0,0.0,0.0,0.0,0.0,838,33.0,16.0,22.0,22.0,52.0,56.0,23.0,38.0,42.0,64.0,75.0,68.0,12.0,41.0,7.0,13.0,2.2
187513628,Nurse Practitioner,1925,893,396693.0,108785.34,79035.51,75160.18,0,0.0,0.0,0.0,0.0,1925,31.0,13.0,18.0,18.0,44.0,44.0,22.0,32.0,35.0,70.0,75.0,67.0,13.0,43.0,5.0,11.0,2.08
258057315,Nurse Practitioner,245,92,77992.0,30913.93,23724.65,23138.98,0,0.0,0.0,0.0,0.0,245,16.0,18.0,34.0,13.0,41.0,66.0,25.0,61.0,49.0,42.0,75.0,60.0,14.0,38.0,14.0,17.0,3.06
933186891,CRNA,471,63,65932.0,28897.53,21721.45,21505.54,0,0.0,0.0,0.0,0.0,471,0.84,0.89,19.0,0.65,1.28,19.0,21.0,73.0,29.0,43.0,48.0,1.85,0.5,33.0,33.0,0.39,1.61
792931829,Neurosurgery,2225,274,528878.0,175957.6,134117.42,130647.32,0,0.0,0.0,0.0,0.0,2225,12.0,9.0,13.0,75.0,17.0,31.0,18.0,21.0,30.0,59.0,72.0,39.0,5.0,34.0,2.13,7.0,1.55
707233569,Orthopedic Surgery,443,375,347408.6,53050.55,41928.85,41730.79,0,0.0,0.0,0.0,0.0,443,14.0,13.0,15.0,15.0,21.0,27.0,19.0,37.0,24.0,59.0,73.0,35.0,11.0,47.0,11.0,5.0,1.41
307736204,Internal Medicine,1008,485,708042.0,162361.17,124267.78,122151.79,0,0.0,0.0,0.0,0.0,1008,17.0,10.0,18.0,16.0,24.0,38.0,21.0,34.0,35.0,63.0,75.0,39.0,14.0,38.0,5.0,5.0,1.73
700956040,Licensed Clinical Social Worker,2964,1458,383108.0,174380.33,125335.48,123165.95,0,0.0,0.0,0.0,0.0,2964,33.0,18.0,17.0,12.0,38.0,34.0,19.0,31.0,30.0,60.0,75.0,49.0,8.0,41.0,6.0,11.0,1.68
555574243,Nurse Practitioner,205,197,112213.23,20425.82,16336.21,16213.94,0,0.0,0.0,0.0,0.0,205,17.0,12.0,12.0,14.0,13.0,24.0,8.0,29.0,23.0,51.0,67.0,28.0,6.0,39.0,7.0,0.34,1.07
263999175,Anesthesiology,97,43,23513.0,8268.05,6317.13,6102.15,0,0.0,0.0,0.0,0.0,97,0.3,0.27,0.29,0.24,0.43,26.0,0.33,56.0,40.0,42.0,63.0,0.66,0.18,37.0,0.14,0.13,1.25
610798203,Neurology,2907,1353,1275570.88,457024.68,326082.92,317148.0,0,0.0,0.0,0.0,0.0,2907,11.0,8.0,10.0,10.0,13.0,22.0,10.0,17.0,26.0,53.0,65.0,28.0,10.0,41.0,1.0,4.0,1.09
486325975,Psychiatry,77,49,10827.0,3717.63,2507.54,2420.74,0,0.0,0.0,0.0,0.0,77,0.26,0.22,0.26,0.21,0.37,0.49,0.29,22.0,22.0,37.0,67.0,24.0,0.16,37.0,0.11,0.11,1.24
263890366,Emergency Medicine,292,180,80875.0,46143.35,31426.13,30985.41,0,0.0,0.0,0.0,0.0,292,17.0,31.0,12.0,13.0,23.0,30.0,14.0,43.0,26.0,62.0,67.0,32.0,13.0,41.0,13.0,22.0,1.46
183311807,Ophthalmology,738,212,204214.0,67084.16,54442.86,51665.96,106,14045.0,11279.64,11020.46,11020.46,632,14.0,9.0,17.0,12.0,22.0,24.0,17.0,36.0,31.0,40.0,69.0,39.0,7.0,30.0,9.0,7.0,1.86
231549802,CRNA,354,233,49102.0,21998.72,15932.8,15835.2,14,550.0,369.93,338.21,338.21,340,15.0,10.0,16.0,12.0,15.0,18.0,15.0,28.0,23.0,54.0,64.0,27.0,10.0,36.0,0.67,0.64,1.08
493910894,Optometry,713,460,185423.0,62706.14,47683.1,45671.15,0,0.0,0.0,0.0,0.0,713,11.0,13.0,10.0,10.0,12.0,19.0,8.0,22.0,22.0,47.0,63.0,30.0,14.0,36.0,3.0,5.0,1.13
815329225,Orthopedic Surgery,5811,744,2376285.0,1210531.3,930009.54,894095.32,1844,963680.0,716836.37,561460.5,561460.5,3967,14.0,10.0,8.0,12.0,16.0,23.0,12.0,18.0,32.0,59.0,68.0,31.0,9.0,31.0,3.0,7.0,1.25
966773639,Dermatology,1155,200,132730.0,98368.77,68956.98,69818.78,0,0.0,0.0,0.0,0.0,1155,3.8,7.0,18.0,2.82,5.8,10.0,20.0,63.0,33.0,45.0,46.0,11.0,2.21,21.0,35.0,1.79,1.29
817056695,Optometry,381,331,158559.11,49114.0,36562.8,37405.58,0,0.0,0.0,0.0,0.0,381,13.0,14.0,26.0,10.0,23.0,32.0,25.0,41.0,27.0,58.0,63.0,33.0,8.0,38.0,12.0,7.0,1.51
234264248,Nurse Practitioner,460,409,192328.0,55147.27,42705.61,42138.1,0,0.0,0.0,0.0,0.0,460,23.0,18.0,23.0,14.0,39.0,45.0,26.0,46.0,35.0,54.0,75.0,51.0,14.0,42.0,17.0,12.0,2.22
678464429,Endocrinology,848,545,708817.11,245308.31,187592.69,183565.83,0,0.0,0.0,0.0,0.0,848,16.0,7.0,15.0,11.0,15.0,25.0,13.0,27.0,28.0,59.0,70.0,31.0,11.0,75.0,3.0,6.0,1.31
169907556,Emergency Medicine,253,112,38795.0,15689.76,11132.13,12083.0,39,3080.0,1710.34,1673.14,1673.14,214,1.32,1.2,13.0,11.0,15.0,20.0,11.0,27.0,21.0,46.0,60.0,27.0,0.87,29.0,0.62,0.54,1.17
350315806,CRNA,93,69,8134.0,4483.13,3039.59,2968.59,0,0.0,0.0,0.0,0.0,93,0.33,0.3,0.33,0.27,16.0,0.63,0.38,0.65,0.62,1.15,1.35,17.0,0.2,0.82,0.16,0.15,1.52
873826703,Neurology,551,180,265861.4,102149.49,79441.76,78092.38,0,0.0,0.0,0.0,0.0,551,13.0,23.0,26.0,13.0,33.0,56.0,22.0,51.0,47.0,52.0,75.0,47.0,10.0,37.0,12.0,19.0,2.31
646413900,Emergency Medicine,234,31,29330.0,19236.18,14734.97,14552.16,0,0.0,0.0,0.0,0.0,234,0.59,0.63,0.59,0.45,0.89,1.13,0.68,75.0,1.1,68.0,65.0,1.28,0.34,45.0,0.35,0.27,1.34
925723463,Licensed Clinical Social Worker,57,51,5810.0,2148.56,1621.14,1518.66,0,0.0,0.0,0.0,0.0,57,0.21,0.17,0.21,0.18,0.3,24.0,0.23,0.39,27.0,63.0,63.0,31.0,0.13,0.53,0.08,0.09,1.46
822143189,Anesthesiology,2654,375,422427.0,151638.25,116342.45,118734.71,0,0.0,0.0,0.0,0.0,2654,23.0,15.0,15.0,13.0,33.0,46.0,19.0,33.0,49.0,62.0,75.0,46.0,10.0,45.0,7.0,6.0,2.31
615905226,Physician Assistant,1158,185,106079.0,48940.44,39165.22,40258.36,0,0.0,0.0,0.0,0.0,1158,1.55,8.0,26.0,1.14,8.0,19.0,16.0,75.0,22.0,39.0,48.0,23.0,0.9,24.0,56.0,0.73,1.46
461558088,Neurology,29,14,5127.0,3022.1,1815.37,1424.92,0,0.0,0.0,0.0,0.0,29,0.13,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.25,0.49,0.57,0.3,0.0,0.35,0.0,0.06,0.64
764598052,Gastroenterology,119,91,11586.3,6400.55,4295.39,4320.44,0,0.0,0.0,0.0,0.0,119,0.49,0.44,15.0,0.39,19.0,29.0,19.0,36.0,38.0,37.0,68.0,27.0,0.29,30.0,0.24,0.22,1.21
937024260,Neurology,772,90,50180.0,22833.36,16555.6,15882.31,0,0.0,0.0,0.0,0.0,772,0.79,0.75,0.77,19.0,1.15,1.49,0.88,17.0,1.47,37.0,53.0,1.74,0.48,75.0,0.0,0.35,0.73
957326897,General Surgery,25,17,9208.0,3707.69,2906.87,2811.02,0,0.0,0.0,0.0,0.0,25,0.13,0.12,0.13,0.11,0.2,75.0,0.15,0.26,65.0,65.0,75.0,71.0,0.0,0.33,0.07,0.06,3.36
996252898,Cardiology,322,26,21360.0,13202.12,9703.51,9376.21,0,0.0,0.0,0.0,0.0,322,0.4,0.42,0.0,0.32,0.6,0.0,0.46,0.84,0.76,1.38,42.0,0.89,0.24,46.0,0.0,0.19,0.75
178241407,Nurse Practitioner,950,441,275933.0,76659.43,59224.5,58059.63,0,0.0,0.0,0.0,0.0,950,15.0,11.0,43.0,12.0,42.0,42.0,59.0,39.0,33.0,48.0,69.0,46.0,17.0,39.0,6.0,6.0,2.3
680899538,Centralized Flu,477,267,510822.25,95673.33,74493.2,74188.32,0,0.0,0.0,0.0,0.0,477,13.0,5.0,9.0,18.0,14.0,16.0,6.0,23.0,26.0,48.0,62.0,27.0,10.0,48.0,0.78,0.7,1.53
531866944,Internal Medicine,518,45,140619.0,47874.49,30115.49,35622.59,0,0.0,0.0,0.0,0.0,518,2.02,2.61,2.18,1.28,3.28,4.01,2.55,40.0,24.0,47.0,64.0,4.28,1.12,71.0,0.0,1.0,1.39
290327095,Internal Medicine,289,98,68961.0,24219.66,18071.65,17667.12,0,0.0,0.0,0.0,0.0,289,19.0,17.0,23.0,0.61,36.0,57.0,23.0,60.0,48.0,49.0,67.0,45.0,0.46,46.0,20.0,16.0,2.76
804271074,Family Practice,26527,1831,2086394.69,979096.14,790983.78,779935.22,348,5900.0,3234.95,3068.2,3068.2,26179,15.0,7.0,11.0,12.0,15.0,22.0,10.0,22.0,23.0,75.0,75.0,33.0,12.0,38.0,3.0,4.0,1.15
828369853,Internal Medicine,775,134,104809.72,43942.23,35182.69,34336.68,90,14338.72,7125.88,6968.35,6968.35,685,17.0,9.0,8.0,12.0,15.0,19.0,13.0,31.0,32.0,69.0,58.0,30.0,2.22,37.0,8.0,8.0,1.28
676341645,Centralized Flu,113,88,11300.0,2387.69,1871.29,1686.08,0,0.0,0.0,0.0,0.0,113,16.0,0.22,16.0,38.0,27.0,25.0,17.0,32.0,39.0,67.0,73.0,49.0,0.2,40.0,0.1,0.13,2.34
546371934,Podiatry,3377,842,4152950.0,519145.34,400259.27,397447.51,356,4340.0,720.39,551.31,551.31,3021,11.0,11.0,19.0,11.0,19.0,25.0,24.0,38.0,31.0,62.0,69.0,30.0,13.0,70.0,6.0,7.0,1.42
626205145,Internal Medicine,3036,863,1482049.0,449552.93,336145.04,313457.43,237,144300.0,49058.44,37833.52,37833.52,2799,17.0,7.0,8.0,28.0,14.0,30.0,9.0,18.0,29.0,56.0,66.0,35.0,3.0,33.0,5.0,3.0,1.21
619347014,Orthopedic Surgery,377,37,51235.34,21142.02,16575.61,17117.07,0,0.0,0.0,0.0,0.0,377,0.57,0.67,0.59,0.41,32.0,32.0,0.69,54.0,35.0,62.0,75.0,54.0,0.33,51.0,0.39,0.28,2.36
962592713,Internal Medicine,17,15,6689.0,2118.37,1660.77,1684.22,0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.09,0.0,0.13,0.17,0.1,0.18,0.17,0.3,0.36,0.2,0.05,0.22,0.0,0.0,0.84
371330670,Radiation Oncology,2585,532,319048.0,130953.91,93388.75,92462.25,75,4911.0,3448.89,3337.96,3337.96,2510,43.0,9.0,17.0,9.0,29.0,26.0,23.0,30.0,39.0,75.0,75.0,45.0,8.0,40.0,5.0,9.0,1.6
154482209,Nurse Practitioner,619,54,21780.0,20378.78,14945.32,14914.82,0,0.0,0.0,0.0,0.0,619,0.75,0.81,0.75,0.57,1.14,1.45,0.87,20.0,22.0,61.0,61.0,1.64,0.0,46.0,0.45,0.35,1.1
402843677,Optometry,1287,236,38721.28,31314.12,21155.31,20480.97,0,0.0,0.0,0.0,0.0,1287,11.0,6.0,6.0,13.0,10.0,15.0,6.0,12.0,23.0,26.0,51.0,17.0,5.0,28.0,0.84,5.0,0.91
757206658,Nurse Practitioner,311,18,28410.0,20293.12,15227.6,15061.17,0,0.0,0.0,0.0,0.0,311,0.0,0.66,0.59,0.45,0.91,1.15,0.7,72.0,1.11,72.0,72.0,1.3,0.34,1.41,0.0,0.28,1.27
679102189,Physician Assistant,424,387,186781.0,58303.35,44277.09,44142.93,0,0.0,0.0,0.0,0.0,424,18.0,20.0,27.0,15.0,33.0,47.0,20.0,47.0,34.0,55.0,75.0,47.0,12.0,44.0,18.0,10.0,2.13
312194537,Internal Medicine,5747,951,472529.0,229154.2,172492.9,172115.18,247,12249.0,7118.63,6732.91,6732.91,5500,9.0,9.0,21.0,6.0,13.0,25.0,11.0,34.0,28.0,45.0,55.0,20.0,5.0,40.0,5.0,5.0,1.22
270575625,Diagnostic Radiology,452,409,405791.4,55393.97,43204.88,43780.95,0,0.0,0.0,0.0,0.0,452,22.0,11.0,22.0,19.0,27.0,33.0,24.0,39.0,39.0,74.0,75.0,41.0,13.0,46.0,6.0,7.0,1.51
797126364,Nurse Practitioner,518,294,229923.0,65847.37,51476.87,52347.59,0,0.0,0.0,0.0,0.0,518,12.0,11.0,26.0,10.0,28.0,43.0,17.0,49.0,40.0,50.0,69.0,31.0,9.0,35.0,6.0,8.0,1.99
730184004,Gastroenterology,329,129,76627.0,13906.95,10307.58,10069.25,0,0.0,0.0,0.0,0.0,329,9.0,10.0,19.0,25.0,24.0,43.0,19.0,25.0,37.0,56.0,72.0,41.0,13.0,43.0,0.19,0.21,2.05
935145410,Mass Immunization Roster Biller,1051,769,356448.0,147472.91,109258.57,109013.41,0,0.0,0.0,0.0,0.0,1051,20.0,29.0,22.0,13.0,28.0,34.0,25.0,50.0,37.0,69.0,75.0,43.0,10.0,46.0,22.0,31.0,1.88
998477122,Chiropractic,108,54,29941.6,11242.79,8214.47,8035.17,0,0.0,0.0,0.0,0.0,108,0.41,0.39,0.41,0.33,0.61,0.79,0.47,59.0,22.0,37.0,33.0,0.91,0.25,43.0,0.21,0.19,1.01
771304319,Optometry,1622,351,334936.0,138663.02,111108.75,106864.44,334,55791.0,29781.43,29137.86,29140.22,1288,11.0,5.0,8.0,9.0,6.0,20.0,7.0,21.0,25.0,57.0,61.0,18.0,5.0,32.0,5.0,4.0,0.99
192532922,Nurse Practitioner,2334,1690,726329.0,147222.26,112036.13,112851.17,0,0.0,0.0,0.0,0.0,2334,20.0,26.0,18.0,14.0,28.0,42.0,21.0,46.0,35.0,63.0,75.0,47.0,11.0,49.0,13.0,26.0,1.94
248470388,Chiropractic,2606,283,108227.0,89152.74,75893.16,73870.52,153,16822.0,13773.57,13493.49,13493.49,2453,9.0,5.0,13.0,9.0,13.0,25.0,11.0,29.0,31.0,48.0,52.0,23.0,6.0,25.0,5.0,5.0,1.21
117593331,Diagnostic Radiology,359,150,13759.0,4160.78,3821.92,3837.18,24,1595.0,1422.25,1380.15,1380.15,335,0.77,0.55,15.0,9.0,11.0,27.0,11.0,45.0,63.0,47.0,62.0,15.0,0.55,19.0,14.0,0.28,1.52
860885947,CRNA,293,102,29861.0,22092.47,16933.19,18989.69,0,0.0,0.0,0.0,0.0,293,19.0,57.0,18.0,14.0,46.0,47.0,23.0,49.0,29.0,57.0,75.0,42.0,25.0,41.0,25.0,13.0,1.93
131674583,Anesthesiology,335,175,34030.0,23306.22,14750.33,17849.5,0,0.0,0.0,0.0,0.0,335,1.65,1.88,18.0,1.15,2.57,14.0,17.0,65.0,25.0,42.0,41.0,16.0,0.95,26.0,38.0,0.79,1.34
144416200,Otolaryngology,63,24,8187.0,4791.88,3246.25,3245.67,0,0.0,0.0,0.0,0.0,63,0.23,0.23,0.23,0.18,0.0,0.44,0.26,0.47,0.42,46.0,0.9,0.5,0.0,0.55,0.13,0.1,0.92
149215832,Clinical Psychologist,308,14,16363.12,10903.22,7414.94,8056.78,0,0.0,0.0,0.0,0.0,308,0.0,0.0,0.44,0.29,0.0,0.0,0.52,1.0,0.79,1.35,1.59,0.91,0.24,0.98,0.31,0.21,1.05
161021979,Licensed Clinical Social Worker,531,150,94447.0,45264.79,33917.91,33564.97,0,0.0,0.0,0.0,0.0,531,11.0,1.59,18.0,26.0,14.0,28.0,22.0,32.0,21.0,53.0,72.0,30.0,14.0,31.0,0.88,0.72,2.23
921486980,Internal Medicine,204,193,219133.6,41659.84,32804.72,32654.95,0,0.0,0.0,0.0,0.0,204,12.0,11.0,17.0,20.0,15.0,26.0,17.0,33.0,31.0,51.0,65.0,32.0,10.0,46.0,7.0,9.0,1.35
329248355,Gastroenterology,5260,284,671361.0,245825.53,192505.56,191756.47,0,0.0,0.0,0.0,0.0,5260,26.0,36.0,24.0,14.0,39.0,48.0,37.0,46.0,41.0,67.0,75.0,50.0,13.0,45.0,13.0,15.0,2.12
634472092,Obstetrics/Gynecology,296,20,37350.0,19069.4,13961.5,14025.27,0,0.0,0.0,0.0,0.0,296,0.56,0.63,0.56,0.41,0.86,1.09,0.66,75.0,1.04,1.84,55.0,1.22,0.32,1.32,0.36,0.26,1.14
513578600,Emergency Medicine,15,15,2063.02,825.17,646.91,755.25,0,0.0,0.0,0.0,0.0,15,0.08,0.08,0.08,0.06,0.12,0.16,0.1,0.17,0.15,75.0,0.32,0.18,0.05,0.19,0.04,0.0,0.78
448279431,Emergency Medicine,512,450,681938.0,78712.98,62394.13,58457.48,0,0.0,0.0,0.0,0.0,512,10.0,7.0,9.0,15.0,16.0,20.0,7.0,18.0,25.0,70.0,67.0,31.0,8.0,43.0,0.0,4.0,1.06
149023149,Internal Medicine,322,15,40400.0,20856.8,15113.35,15191.14,0,0.0,0.0,0.0,0.0,322,0.6,0.0,0.0,0.0,0.92,1.17,0.71,75.0,1.11,1.96,2.3,1.3,0.34,1.41,0.39,0.28,1.02
839794973,Internal Medicine,1604,671,244342.0,72275.62,55489.73,51148.38,0,0.0,0.0,0.0,0.0,1604,12.0,6.0,14.0,20.0,16.0,27.0,13.0,27.0,30.0,53.0,64.0,30.0,8.0,34.0,3.0,4.0,1.31
373555863,Nurse Practitioner,872,605,219227.0,68821.77,46710.1,45144.0,0,0.0,0.0,0.0,0.0,872,11.0,8.0,14.0,11.0,13.0,18.0,9.0,19.0,21.0,59.0,60.0,27.0,13.0,37.0,2.0,5.0,1.07
325324537,Maxillofacial Surgery,441,17,68675.0,30519.22,23422.75,23213.25,0,0.0,0.0,0.0,0.0,441,0.68,0.78,0.69,0.51,1.06,1.34,0.81,75.0,1.28,2.26,2.65,1.5,0.39,1.62,0.44,0.0,1.68
545315111,Physician Assistant,395,57,50863.4,25280.92,19117.2,18912.23,0,0.0,0.0,0.0,0.0,395,0.76,58.0,26.0,0.59,37.0,42.0,28.0,75.0,33.0,58.0,75.0,35.0,0.45,49.0,33.0,0.35,2.2
303561580,Certified Clinical Nurse Specialist,418,411,185511.2,36815.57,29668.33,29889.3,0,0.0,0.0,0.0,0.0,418,10.0,5.0,16.0,15.0,14.0,24.0,18.0,31.0,35.0,68.0,69.0,26.0,6.0,42.0,3.0,5.0,1.25
249349090,CRNA,170,67,217720.0,56325.72,43400.18,42700.17,0,0.0,0.0,0.0,0.0,170,0.99,1.02,1.01,39.0,1.52,25.0,1.17,31.0,21.0,43.0,57.0,24.0,24.0,37.0,0.57,0.47,1.49
716948190,Neurology,23,19,9570.0,2730.71,2140.87,2242.48,0,0.0,0.0,0.0,0.0,23,0.12,0.12,0.13,0.09,0.18,0.24,0.14,0.26,58.0,75.0,75.0,0.27,0.07,0.29,0.0,0.06,1.23
516980256,Obstetrics/Gynecology,1562,173,166270.0,97489.93,76953.33,75366.82,204,21532.0,17934.69,17566.22,17566.22,1358,20.0,9.0,13.0,6.52,17.0,20.0,14.0,29.0,26.0,62.0,71.0,23.0,10.0,34.0,2.66,2.6,1.26
